,city,city_ascii,state_id,state_name,population,county_name,lat,lng,id,county_fips,value
62,Birmingham,Birmingham,AL,Alabama,753721,Jefferson,33.5279,-86.7971,1840006507,1073,0
134,Mobile,Mobile,AL,Alabama,328610,Mobile,30.6782,-88.1162,1840006009,1097,1
95,Little Rock,Little Rock,AR,Arkansas,446814,Pulaski,34.7256,-92.3577,1840015509,5119,2
124,Fayetteville,Fayetteville,AR,Arkansas,350995,Washington,36.0714,-94.1661,1840013368,5143,3
10,Phoenix,Phoenix,AZ,Arizona,4187723,Maricopa,33.5722,-112.0892,1840020568,4013,4
56,Tucson,Tucson,AZ,Arizona,883127,Pima,32.1541,-110.8787,1840022101,4019,5
1,Los Angeles,Los Angeles,CA,California,12531334,Los Angeles,34.1141,-118.4068,1840020491,6037,6
12,San Francisco,San Francisco,CA,California,3557982,San Francisco,37.7558,-122.4449,1840021543,6075,7
18,Denver,Denver,CO,Colorado,2709398,Denver,39.762,-104.8758,1840018789,8031,8
72,Colorado Springs,Colorado Springs,CO,Colorado,621332,El Paso,38.8674,-104.7605,1840018825,8041,9
51,Bridgeport,Bridgeport,CT,Connecticut,948918,Fairfield,41.1918,-73.1954,1840004836,9001,10
54,Hartford,Hartford,CT,Connecticut,918434,Hartford,41.7661,-72.6834,1840004773,9003,11
8,Washington,Washington,DC,District of Columbia,5066973,District of Columbia,38.9047,-77.0163,1840006060,11001,12
358,Dover,Dover,DE,Delaware,125931,Kent,39.161,-75.5202,1840005810,10001,13
689,Wilmington,Wilmington,DE,Delaware,70655,New Castle,39.7415,-75.5416,1840005579,10003,14
3,Miami,Miami,FL,Florida,6076316,Miami-Dade,25.784,-80.2101,1840015149,12086,15
16,Tampa,Tampa,FL,Florida,2771700,Hillsborough,27.9945,-82.4447,1840015982,12057,16
7,Atlanta,Atlanta,GA,Georgia,5151496,Fulton,33.7628,-84.422,1840013660,13121,17
109,Augusta,Augusta,GA,Georgia,404125,Richmond,33.3645,-82.0708,1840029462,13245,18
86,Des Moines,Des Moines,IA,Iowa,519180,Polk,41.5725,-93.6105,1840007069,19153,19
155,Davenport,Davenport,IA,Iowa,281895,Scott,41.5565,-90.6053,1840007081,19163,20
107,Boise,Boise,ID,Idaho,407550,Ada,43.6005,-116.2308,1840027142,16001,21
250,Nampa,Nampa,ID,Idaho,181887,Canyon,43.5844,-116.5638,1840020041,16027,22
2,Chicago,Chicago,IL,Illinois,8586888,Cook,41.8375,-87.6866,1840000494,17031,23
151,Round Lake Beach,Round Lake Beach,IL,Illinois,287012,Lake,42.3791,-88.0811,1840011171,17097,24
35,Indianapolis,Indianapolis,IN,Indiana,1636763,Marion,39.7771,-86.1458,1840030084,18097,25
133,Fort Wayne,Fort Wayne,IN,Indiana,329170,Allen,41.0888,-85.1436,1840008261,18003,26
92,Wichita,Wichita,KS,Kansas,484715,Sedgwick,37.6895,-97.3443,1840001686,20173,27
237,Overland Park,Overland Park,KS,Kansas,193412,Johnson,38.887,-94.687,1840003834,20091,28
49,Louisville,Louisville,KY,Kentucky,1004821,Jefferson,38.1663,-85.6485,1840030815,21111,29
138,Lexington,Lexington,KY,Kentucky,316743,Fayette,38.0423,-84.4587,1840015211,21067,30
50,New Orleans,New Orleans,LA,Louisiana,957783,Orleans,30.0687,-89.9288,1840001839,22071,31
